original_index,counterfactual_id,original_prediction,counterfactual_prediction,desired_low,desired_high,n_total_changes,n_actionable_changes,n_non_actionable_changes,actionable_features,non_actionable_features,prediction_delta,abs_prediction_delta,only_actionable,uses_non_actionable
333,1,0.5778914259194702,0.4681554233088406,0.0,0.488550469466305,2,2,0,"COBERTURA_CRECHE_0_3, PERC_RENDA_OUTRAS_FONTES",,-0.1097360026106296,0.1097360026106296,True,False
333,2,0.5778914259194702,0.4847466253340509,0.0,0.488550469466305,2,2,0,"PROP_MAT_BRANCA, PROP_MAT_INDIGENA",,-0.0931448005854193,0.0931448005854193,True,False
333,3,0.5778914259194702,0.483345397733452,0.0,0.488550469466305,1,1,0,PROP_MAT_BRANCA,,-0.0945460281860182,0.0945460281860182,True,False
7,1,0.5798930392388636,0.3653982366208043,0.0,0.4905520827856984,1,1,0,IDH_EXPECT_ANOS_ESTUDO,,-0.2144948026180593,0.2144948026180593,True,False
7,2,0.5798930392388636,0.477120931233765,0.0,0.4905520827856984,2,2,0,"MEDIA_MAT_0_3_POR_ESCOLA, TAXA_OCUP_MASC",,-0.10277210800509862,0.10277210800509862,True,False
7,3,0.5798930392388636,0.4511639472950301,0.0,0.4905520827856984,1,1,0,IDH_EXPECT_ANOS_ESTUDO,,-0.12872909194383347,0.12872909194383347,True,False
326,1,0.5832785085141484,0.40459789440203,0.0,0.4939375520609833,2,2,0,"IDH_RAZAO_DEPENDENCIA, PROP_MAT_PRETA",,-0.17868061411211844,0.17868061411211844,True,False
326,2,0.5832785085141484,0.4112699786717444,0.0,0.4939375520609833,2,2,0,"IDH_RAZAO_DEPENDENCIA, PROP_MAT_INDIGENA",,-0.172008529842404,0.172008529842404,True,False
326,3,0.5832785085141484,0.4856486799180569,0.0,0.4939375520609833,2,2,0,"PROP_MAT_BRANCA, PROP_MAT_PARDA",,-0.09762982859609154,0.09762982859609154,True,False
321,1,0.588727766042217,0.3620654011687793,0.0,0.4993868095890518,2,2,0,"IDH_EXPECT_ANOS_ESTUDO, IDH_PROP_POBREZA_CRIANCAS",,-0.22666236487343772,0.22666236487343772,True,False
321,2,0.588727766042217,0.4775660024330409,0.0,0.4993868095890518,2,2,0,"LOG_POP_TOTAL, RENDA_MEDIANA_RESPONSAVEL",,-0.11116176360917607,0.11116176360917607,True,False
321,3,0.588727766042217,0.3793375429328247,0.0,0.4993868095890518,2,2,0,"IDH_EXPECT_ANOS_ESTUDO, PERC_RENDA_OUTRAS_FONTES",,-0.20939022310939231,0.20939022310939231,True,False
216,1,0.5925416238338258,0.4991078785867278,0.0,0.5032006673806606,2,2,0,"COBERTURA_CRECHE_0_3, PROP_MAT_BRANCA",,-0.09343374524709802,0.09343374524709802,True,False
216,2,0.5925416238338258,0.4565860523134347,0.0,0.5032006673806606,2,2,0,"COBERTURA_CRECHE_0_3, ESCOLAS_CRECHE_POR_1000_CRIAN",,-0.13595557152039112,0.13595557152039112,True,False
216,3,0.5925416238338258,0.4589041193296308,0.0,0.5032006673806606,1,1,0,IDH_EXPECT_ANOS_ESTUDO,,-0.13363750450419498,0.13363750450419498,True,False
271,1,0.5941259394321671,0.4790706156611959,0.0,0.5047849829790019,2,2,0,"IDH_RAZAO_DEPENDENCIA, PROP_MAT_PARDA",,-0.11505532377097116,0.11505532377097116,True,False
271,2,0.5941259394321671,0.4481772001722265,0.0,0.5047849829790019,2,2,0,"IDH_EXPECT_ANOS_ESTUDO, PROP_MAT_BRANCA",,-0.14594873925994056,0.14594873925994056,True,False
271,3,0.5941259394321671,0.4737719657870587,0.0,0.5047849829790019,2,2,0,"IDH_RAZAO_DEPENDENCIA, RENDA_MEDIANA_RESPONSAVEL",,-0.12035397364510836,0.12035397364510836,True,False
343,1,0.5967649716246721,0.4785570234360156,0.0,0.5074240151715069,1,1,0,IDH_EXPECT_ANOS_ESTUDO,,-0.11820794818865654,0.11820794818865654,True,False
343,2,0.5967649716246721,0.3472751943954995,0.0,0.5074240151715069,1,1,0,IDH_EXPECT_ANOS_ESTUDO,,-0.24948977722917265,0.24948977722917265,True,False
343,3,0.5967649716246721,0.4107058090847706,0.0,0.5074240151715069,2,2,0,"IDH_RAZAO_DEPENDENCIA, LOG_POP_TOTAL",,-0.1860591625399015,0.1860591625399015,True,False
82,1,0.6178360770460909,0.5120646866798679,0.0,0.5284951205929257,1,1,0,PROP_MAT_BRANCA,,-0.10577139036622296,0.10577139036622296,True,False
82,2,0.6178360770460909,0.5041121441413698,0.0,0.5284951205929257,2,2,0,"PROP_MAT_INDIGENA, TAXA_OCUP_MASC",,-0.11372393290472105,0.11372393290472105,True,False
82,3,0.6178360770460909,0.4983227156400606,0.0,0.5284951205929257,2,2,0,"PROP_DOM_SEM_CONJUGE_MULHER, PROP_MAT_BRANCA",,-0.1195133614060303,0.1195133614060303,True,False
226,1,0.6376068614017033,0.43267063954341,0.0,0.5482659049485381,2,2,0,"IDH_RAZAO_DEPENDENCIA, PROP_DOM_SEM_CONJUGE_MULHER",,-0.2049362218582933,0.2049362218582933,True,False
226,2,0.6376068614017033,0.4462411114642093,0.0,0.5482659049485381,2,2,0,"IDH_EXPECT_ANOS_ESTUDO, MEDIA_MAT_0_3_POR_ESCOLA",,-0.191365749937494,0.191365749937494,True,False
226,3,0.6376068614017033,0.3334378562708571,0.0,0.5482659049485381,2,2,0,"IDH_EXPECT_ANOS_ESTUDO, IDH_RAZAO_DEPENDENCIA",,-0.3041690051308462,0.3041690051308462,True,False
130,1,0.6753907335316078,0.5771949258195664,0.0,0.5860497770784426,2,2,0,"PERC_RENDA_OUTRAS_FONTES, PROP_MAT_BRANCA",,-0.0981958077120414,0.0981958077120414,True,False
130,2,0.6753907335316078,0.5841640808269848,0.0,0.5860497770784426,2,2,0,"PROP_DOM_SEM_CONJUGE_MULHER, PROP_MAT_BRANCA",,-0.09122665270462305,0.09122665270462305,True,False
130,3,0.6753907335316078,0.4989976278283515,0.0,0.5860497770784426,1,1,0,IDH_RAZAO_DEPENDENCIA,,-0.17639310570325634,0.17639310570325634,True,False
