number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_hidden_layer_sizes,params_k_features,params_learning_rate_init,user_attrs_rmse_cv_std,state
0,0.35748396700046126,2026-06-21 18:38:24.121098,2026-06-21 18:38:24.994161,0 days 00:00:00.873063,relu,6.532799354947315e-06,64,"(64,)",58,0.0036506138935743677,0.009358939044655864,COMPLETE
1,0.3395485770785599,2026-06-21 18:38:24.994161,2026-06-21 18:38:26.761707,0 days 00:00:01.767546,tanh,0.0014021925314583895,64,"(128, 64)",22,0.0004463533328535128,0.011456705266421017,COMPLETE
2,0.35467630331433825,2026-06-21 18:38:26.761707,2026-06-21 18:38:27.880417,0 days 00:00:01.118710,tanh,0.0012691297552160433,32,"(32,)",6,0.0008577816488388881,0.012502817067578735,COMPLETE
3,0.35621447235787407,2026-06-21 18:38:27.880417,2026-06-21 18:38:34.073987,0 days 00:00:06.193570,relu,3.217897371762882e-05,16,"(128, 64, 32)",10,0.00013504881491335812,0.011936953064262536,COMPLETE
4,0.36917101302782135,2026-06-21 18:38:34.073987,2026-06-21 18:38:35.945041,0 days 00:00:01.871054,relu,0.008080783310773876,128,"(64,)",27,0.00025555246628822443,0.00779332287705991,COMPLETE
5,0.3612201452926155,2026-06-21 18:38:35.945041,2026-06-21 18:38:37.763420,0 days 00:00:01.818379,tanh,0.0002206037722622274,128,"(128, 64, 32)",18,0.0009825422933170738,0.014454521851258183,COMPLETE
6,0.35682862410015265,2026-06-21 18:38:37.763420,2026-06-21 18:38:40.545774,0 days 00:00:02.782354,relu,8.927435082876635e-06,32,"(128, 64)",6,0.0001947222921006216,0.01213380498810851,COMPLETE
7,0.3574755311901838,2026-06-21 18:38:40.545774,2026-06-21 18:38:41.946773,0 days 00:00:01.400999,tanh,3.2578012673963637e-05,128,"(64,)",60,0.00024910886575395074,0.010248032495830749,COMPLETE
8,0.3639637512605884,2026-06-21 18:38:41.946773,2026-06-21 18:38:43.072698,0 days 00:00:01.125925,relu,9.39531220385108e-06,128,"(128,)",91,0.009065403198685578,0.013805995115677138,COMPLETE
9,0.35182535950688265,2026-06-21 18:38:43.072698,2026-06-21 18:38:46.508243,0 days 00:00:03.435545,relu,1.7260544120124703e-06,16,"(64,)",54,0.0001785227704225398,0.010060559919093333,COMPLETE
10,0.34595450945950046,2026-06-21 18:38:46.508243,2026-06-21 18:38:48.414160,0 days 00:00:01.905917,tanh,0.007089568874509959,64,"(128, 64)",96,0.0010717660442052931,0.012054161297106483,COMPLETE
11,0.33980041170301245,2026-06-21 18:38:48.414160,2026-06-21 18:38:50.453523,0 days 00:00:02.039363,tanh,0.008323723023098988,64,"(128, 64)",97,0.0007890121948631531,0.009277340124243472,COMPLETE
12,0.3398045544314702,2026-06-21 18:38:50.453523,2026-06-21 18:38:51.914078,0 days 00:00:01.460555,tanh,0.001146552999014048,64,"(128, 64)",38,0.00047187171547875,0.011336514107387993,COMPLETE
13,0.35264209853632883,2026-06-21 18:38:51.914078,2026-06-21 18:38:52.928616,0 days 00:00:01.014538,tanh,0.001140309303612287,64,"(64, 32)",78,0.0020752060633048948,0.008708586858362741,COMPLETE
14,0.33988060390820873,2026-06-21 18:38:52.928616,2026-06-21 18:38:54.638323,0 days 00:00:01.709707,tanh,0.00310701804577082,64,"(128, 64)",77,0.0004825052900366871,0.01129356868082506,COMPLETE
15,0.3401811208145452,2026-06-21 18:38:54.638323,2026-06-21 18:38:56.495640,0 days 00:00:01.857317,tanh,0.0002523020187588555,64,"(128, 64)",38,0.0005040138423142415,0.011208034067342191,COMPLETE
16,0.35271207489291756,2026-06-21 18:38:56.495640,2026-06-21 18:38:57.777709,0 days 00:00:01.282069,tanh,0.00023882953847489366,64,"(64, 32)",78,0.002166353983454797,0.008711903123417093,COMPLETE
17,0.3490038767073721,2026-06-21 18:38:57.777709,2026-06-21 18:38:58.961469,0 days 00:00:01.183760,tanh,0.003055254651678784,64,"(128,)",41,0.0016928203471738904,0.008994811679103052,COMPLETE
18,0.3526707765436813,2026-06-21 18:38:58.965175,2026-06-21 18:39:01.600845,0 days 00:00:02.635670,tanh,0.0004425980213982878,16,"(32,)",48,0.00041978852941051183,0.01108663532760274,COMPLETE
19,0.3384153299363748,2026-06-21 18:39:01.600845,2026-06-21 18:39:04.522839,0 days 00:00:02.921994,tanh,0.0027545752922721817,32,"(128, 64)",67,0.00010818634280915451,0.011251400820424005,COMPLETE
20,0.33833039707523105,2026-06-21 18:39:04.522839,2026-06-21 18:39:06.896529,0 days 00:00:02.373690,tanh,9.380347582290287e-05,32,"(128, 64)",68,0.00011328044407764346,0.01131127208279552,COMPLETE
21,0.3385254256074973,2026-06-21 18:39:06.896529,2026-06-21 18:39:09.404691,0 days 00:00:02.508162,tanh,6.087270249126428e-05,32,"(128, 64)",68,0.00010554429918126496,0.011237019048441625,COMPLETE
22,0.3386649353203087,2026-06-21 18:39:09.404691,2026-06-21 18:39:12.075008,0 days 00:00:02.670317,tanh,8.38506254645377e-05,32,"(128, 64)",67,0.00010074045447577044,0.011180130284136135,COMPLETE
23,0.3385631405072894,2026-06-21 18:39:12.075008,2026-06-21 18:39:14.696828,0 days 00:00:02.621820,tanh,6.056104479730441e-05,32,"(128, 64)",69,0.00010419695756800498,0.01122196459984009,COMPLETE
24,0.338280405335676,2026-06-21 18:39:14.696828,2026-06-21 18:39:17.412775,0 days 00:00:02.715947,tanh,8.803508871706335e-05,32,"(128, 64)",85,0.00014883182442489476,0.012302207494638324,COMPLETE
25,0.3392477423206085,2026-06-21 18:39:17.412775,2026-06-21 18:39:19.876880,0 days 00:00:02.464105,tanh,0.0005131242677687529,32,"(128, 64)",86,0.00028282488137326554,0.010889412057504657,COMPLETE
26,0.35159070513172974,2026-06-21 18:39:19.876880,2026-06-21 18:39:22.781002,0 days 00:00:02.904122,tanh,0.00011410503353058761,32,"(64, 32)",85,0.0001674203522547207,0.012310582203528759,COMPLETE
27,0.35657059316078243,2026-06-21 18:39:22.781002,2026-06-21 18:39:25.464187,0 days 00:00:02.683185,tanh,2.6674103243185007e-05,32,"(32,)",72,0.000148563257912802,0.012223011596764347,COMPLETE
28,0.34598279669518306,2026-06-21 18:39:25.464187,2026-06-21 18:39:27.195502,0 days 00:00:01.731315,tanh,2.6806781151562737e-06,32,"(128,)",84,0.00028398321994130266,0.007947909957538893,COMPLETE
29,0.35355079626837543,2026-06-21 18:39:27.195502,2026-06-21 18:39:29.991215,0 days 00:00:02.795713,relu,4.310796453384076e-06,32,"(128, 64, 32)",61,0.00021740805319348324,0.010093955456168497,COMPLETE
30,0.33837118602069666,2026-06-21 18:39:29.991215,2026-06-21 18:39:32.417315,0 days 00:00:02.426100,tanh,1.7300239488420415e-05,32,"(128, 64)",62,0.00013709929923983827,0.012225158408917759,COMPLETE
31,0.3384156085769811,2026-06-21 18:39:32.417315,2026-06-21 18:39:34.830601,0 days 00:00:02.413286,tanh,1.557002992111585e-05,32,"(128, 64)",53,0.00013232181120883036,0.012180419747191588,COMPLETE
32,0.3406019241738053,2026-06-21 18:39:34.830601,2026-06-21 18:39:36.901409,0 days 00:00:02.070808,tanh,1.7844546642355307e-05,32,"(128, 64)",62,0.0003491758607389121,0.012830980971810929,COMPLETE
33,0.3383308012098429,2026-06-21 18:39:36.901409,2026-06-21 18:39:39.366087,0 days 00:00:02.464678,tanh,0.00012817058167958713,32,"(128, 64)",73,0.00014174080890866152,0.012260176597322455,COMPLETE
34,0.33827667972771047,2026-06-21 18:39:39.366087,2026-06-21 18:39:41.886871,0 days 00:00:02.520784,tanh,0.0001547292856405897,32,"(128, 64)",74,0.00014920975763056655,0.012303785577391452,COMPLETE
35,0.33778827059839334,2026-06-21 18:39:41.888879,2026-06-21 18:39:44.092649,0 days 00:00:02.203770,tanh,0.00012507414911984278,32,"(128, 64)",90,0.00017852587862777976,0.012532581054492753,COMPLETE
36,0.35292371459834715,2026-06-21 18:39:44.092649,2026-06-21 18:39:47.255343,0 days 00:00:03.162694,relu,0.00047479782100893613,16,"(128, 64, 32)",100,0.00020165822162360886,0.010064446654230482,COMPLETE
37,0.354724676951456,2026-06-21 18:39:47.255343,2026-06-21 18:39:49.409060,0 days 00:00:02.153717,tanh,4.2390026823276665e-05,32,"(32,)",89,0.0003011232560408166,0.012265777854037152,COMPLETE
38,0.3500853635829365,2026-06-21 18:39:49.409060,2026-06-21 18:39:51.786471,0 days 00:00:02.377411,tanh,0.00014189454135033882,32,"(64,)",93,0.00020028511617106877,0.010856197810437732,COMPLETE
39,0.35348549476192925,2026-06-21 18:39:51.786471,2026-06-21 18:39:53.288148,0 days 00:00:01.501677,relu,0.00018450116874695806,128,"(128, 64)",81,0.0006671889704097031,0.014329222857355068,COMPLETE
40,0.3600304259925848,2026-06-21 18:39:53.288148,2026-06-21 18:39:54.839466,0 days 00:00:01.551318,tanh,0.00037806886454526525,32,"(128, 64)",75,0.00895563717491896,0.014588041220244832,COMPLETE
41,0.33835415527955165,2026-06-21 18:39:54.855603,2026-06-21 18:39:57.244257,0 days 00:00:02.388654,tanh,8.316229983765053e-05,32,"(128, 64)",73,0.00013895606611681155,0.01223994572550243,COMPLETE
42,0.3379358094749539,2026-06-21 18:39:57.244257,2026-06-21 18:39:59.642150,0 days 00:00:02.397893,tanh,0.00014565067598517177,32,"(128, 64)",81,0.00016050274332880988,0.012481993810836449,COMPLETE
43,0.33851673078437994,2026-06-21 18:39:59.642150,2026-06-21 18:40:01.875368,0 days 00:00:02.233218,tanh,4.44099869762476e-05,32,"(128, 64)",81,0.00022996378348870853,0.011941445841171065,COMPLETE
44,0.34771993125419637,2026-06-21 18:40:01.875368,2026-06-21 18:40:04.381574,0 days 00:00:02.506206,tanh,0.000805295358089666,32,"(64,)",89,0.00016722434325427388,0.010976775719623515,COMPLETE
45,0.36726927672973075,2026-06-21 18:40:04.381574,2026-06-21 18:40:05.923066,0 days 00:00:01.541492,relu,8.235252393352615e-05,128,"(128,)",94,0.00033549969341339914,0.01780667001628006,COMPLETE
46,0.3420174718857415,2026-06-21 18:40:05.923066,2026-06-21 18:40:08.931923,0 days 00:00:03.008857,tanh,0.0003054589956093027,16,"(128, 64)",83,0.0001788037971469464,0.010980816697844013,COMPLETE
47,0.3511799355175949,2026-06-21 18:40:08.931923,2026-06-21 18:40:12.629913,0 days 00:00:03.697990,tanh,0.00014871194987798008,32,"(128, 64, 32)",100,0.00012012333317033007,0.009802067884954874,COMPLETE
48,0.33858906847023496,2026-06-21 18:40:12.629913,2026-06-21 18:40:14.951333,0 days 00:00:02.321420,tanh,2.9226422217561773e-05,32,"(128, 64)",87,0.00023832192639259035,0.011826109869155608,COMPLETE
49,0.3645008223332037,2026-06-21 18:40:14.951333,2026-06-21 18:40:17.037350,0 days 00:00:02.086017,tanh,0.0007071382390667702,128,"(64, 32)",79,0.00015809451169159077,0.009686191310975143,COMPLETE
